Symbol,Name,Sector,Industry
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
SRCE,1st Source Corporation,Finance,Major Banks
XXII,"22nd Century Group, Inc",Consumer Non-Durables,Farming/Seeds/Milling
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software
MMM,3M Company,Health Care,Medical/Dental Instruments
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
AIR,AAR Corp.,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,Finance,Savings Institutions
ACCO,Acco Brands Corporation,Consumer Durables,Publishing
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components
ACNB,ACNB Corporation,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATNM,"Actinium Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
ATU,Actuant Corporation,Technology,Industrial Machinery/Components
AYI,Acuity Brands Inc,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,Recreational Products/Toys
ACXM,Acxiom Corporation,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
AE,"Adams Resources & Energy, Inc.",Energy,Oil Refining/Marketing
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,Technology,Semiconductors
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,Consumer Services,Other Consumer Services
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM,Consumer Services,Military/Government/Technical
AEGN,Aegion Corp,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,Military/Government/Technical
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AET,Aetna Inc.,Health Care,Medical Specialities
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers
AFL,Aflac Incorporated,Finance,Accident &Health Insurance
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components
UAVS,"AgEagle Aerial Systems, Inc.",Capital Goods,Aerospace
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGYS,"Agilysys, Inc.",Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
